subject,sha,loc,nfiles,changed,reduction,time
mixOmics,2ccaa952c12d22ea3b9a8d03f097fb7f7b695a7e,42533,191,2.2666666666666666,0.7628151569310989,0.12176099618275961
testthat,fe50a222c62cc8733b397690caf3b2a95856f902,16647,239,1.2333333333333334,0.7250559284116331,0.05331246852874756
roxygen2,9e97a3cbf8ebd61ee2519913a3fd985950716068,15049,151,3.566666666666667,0.6746464646464646,0.051347780227661136
devtools,bfb420917f8a1d13ab940c5420c6529d7fa54e26,3899,85,0.7,0.9857142857142858,0.017825857798258463
pkgdown,13d8d621105a3a527a05e46c6c805a6564c39791,13082,121,3.1,0.6683766233766234,0.04277209440867106
xpectr,dce98e2b4482b2e2a317c930f2cc7cea6003e32c,11742,46,1.5666666666666667,0.8406776745786033,0.016998688379923504
dplyr,b359331a448a693546d77245b0de4d405bab3886,39626,219,0.9666666666666667,0.7722355876325403,0.09500731627146403
gargle,ef00eb0581a8eda05185a3a6348f80cff522dd76,9224,74,0.5666666666666667,0.9231481481481482,0.01806938648223877
autotest,4c8db0ced6359f567a841985164eab76051bc8d1,8699,39,0.6333333333333333,0.7476190476190476,0.01317609151204427
testdat,fcc7a17051d98371910aa2d067a82231fb333b87,2970,46,1.5,0.9224477861319966,0.008603119850158691
shinytest2,799b11c2a86ef47cbaa0247ea9ce23f220e7c735,13484,231,2.9,0.7409405871576135,0.061649839083353676
usethis,709f82582eb3be6ed1cfea459e4e9de8d25ae553,20006,176,0.7333333333333333,0.7792270531400967,0.04601186911265055
httr2,10f3d878da94f2597c02c29846d446f3fbd635c8,10846,100,1.1,0.5605110336817654,0.032038640975952146
lintr,67754bcf0166b89714ae073955f2476c607b6c17,38131,337,9.333333333333334,0.668588193375498,0.1446624755859375
styler,b70d75c05aa06488ba3a4ebf4076fef8f8f5c1b9,23429,632,6.433333333333334,0.9152084687335201,0.11241997083028157
scales,84560bf54e02315477a05384ee67991e9e8fc52c,6755,81,2.033333333333333,0.8444444444444444,0.022659818331400555
forecast,8805b88313f9610e9c388fe1ab24e2c4adca1d42,21807,86,0.26666666666666666,0.8620689655172413,0.026784896850585938
xpectr,dce98e2b4482b2e2a317c930f2cc7cea6003e32c,11742,46,1.5666666666666667,0.8406776745786033,0.01720696290334066
pkgbuild,7a26fb16f2efe7725df7ea66f72174f5f6271fc5,4090,48,1.4666666666666666,0.836140350877193,0.012578407923380533
pkgdepends,ff72dfdd05a648478abfb69c4f3cbb9ea8436ffd,31642,153,2.5,0.6509060530113162,0.0652753750483195
covr,54de614f5c17a42bfaef2c87dbf5723ca701326a,6213,102,0.8333333333333334,0.917326230339929,0.024927417437235515
