url,test_folder,source_folder
https://github.com/axios/axios,test,
https://github.com/gka/chroma.js,test,
https://github.com/jest-community/jest-junit,__tests__,
https://github.com/borela-tech/js-toolbox,src,src/__tests__
https://github.com/josdejong/mathjs,test,
https://github.com/riot/riot,test,
https://github.com/jest-community/vscode-jest,tests,src
https://github.com/vuejs/vue,test,
https://github.com/getgauge/taiko,test,
https://github.com/stripe/stripe-node,test,
https://github.com/alibaba/butterfly,test,
https://github.com/videojs/videojs-contrib-hls,test,src
https://github.com/postaljs/postal.js,spec,
https://github.com/substance/substance,test,
https://github.com/pissang/claygl,test,
https://github.com/uber/react-digraph,__tests__,
https://github.com/vega/datalib,test,src
https://github.com/javve/list.js,__test__,src
https://github.com/OpenZeppelin/openzeppelin-contracts,test,
